case_id,op_name,device,implemented,status,note,batch,channels_in,height,width,channels_out,kernel_h,kernel_w,stride_h,stride_w,pad_h,pad_w,kernel_ms,total_ms,submit_ms,sync_ms,h2d_ms,d2h_ms,pack_ms,gops,ok
s1_conv3x3_64_64,conv2d,vta,True,ok,Stage1 main path,1,64,56,56,64,3,3,1,1,1,1,43.317358,339.8611352008629,44.389929299995856,0.9315149000030942,54.36195000038424,16.68584999970335,0.011068000276281964,5.337606416346999,True
s2_conv3x3_128_128,conv2d,vta,True,ok,Stage2 main path,1,128,28,28,128,3,3,1,1,1,1,30.236573300000003,425.39405539846484,31.142722700133163,0.8284086998173734,45.12337599953753,9.22699099919555,0.009761999535840005,7.646733169991852,True
s4_conv3x3_512_512,conv2d,vta,True,ok,Stage4 main path,1,512,7,7,512,3,3,1,1,1,1,87.07522569999999,2824.3753320002725,88.31611330015221,1.2027636998936941,244.14220899961947,4.477337000025727,0.012422000509104691,2.65530185125894,True
