candidate_id,outer_span,vta_island_count,measured_cycle_ms,shared_compute_ms,direct_copy_ms,communication_aware_ms
three_stage_e,3_17,1,107.40505870588237,99.42855776470589,2.6828200000000004,99.42855776470589
islands_1_4__5_12__13_19,1_19,3,120.12823888235296,96.61108329411765,9.29159,105.90267329411765
islands_1_4__5_9__10_16,1_16,3,120.24431358823529,92.76819288235293,11.79071,104.55890288235294
islands_1_4__5_9__10_15,1_15,3,120.26588382352942,92.93919299999999,12.2274,105.16659299999999
islands_1_4__5_12__13_18,1_18,3,122.30514535294115,97.40890576470588,9.675055,107.08396076470588
islands_1_4__5_8__10_15,1_15,3,122.54090011764707,91.1651834117647,13.51895,104.6841334117647
three_stage_f,1_17,1,122.86105094117647,87.03089158823529,18.871857999999996,105.90274958823528
islands_1_4__5_9__10_17,1_17,3,123.88822235294118,95.33149429411765,11.91364,107.24513429411765
islands_1_4__5_8__10_16,1_16,3,125.14624611764704,93.87541394117648,15.307749999999999,109.18316394117647
islands_1_3__5_9__10_17,1_17,3,125.36778070588237,95.38767241176471,13.903550000000001,109.2912224117647
islands_1_4__5_8__10_17,1_17,3,125.56906852941175,93.75991670588235,14.783949999999999,108.54386670588235
islands_1_3__5_8__10_16,1_16,3,126.13443305882353,93.72894747058824,16.080750000000002,109.80969747058825
islands_1_3__5_9__10_16,1_16,3,126.23069870588233,95.04132258823529,14.2484,109.28972258823529
islands_1_3__5_9__10_15,1_15,3,128.1408407647059,95.82075882352942,14.799700000000001,110.62045882352942
islands_1_3__5_8__10_15,1_15,3,128.71266417647058,96.54015541176472,15.36405,111.90420541176472
islands_1_3__5_8__10_17,1_17,3,129.12751176470587,94.48764094117647,17.23875,111.72639094117646
three_stage_a,5_14,1,168.1812370588235,159.89630852941175,3.003205,159.89630852941175
block_stage_c,5_9,1,210.7081464117647,202.58288623529413,3.7110949999999994,202.58288623529413
fine_conv_vta_a,5_8,2,213.47708764705882,204.20701264705883,8.93402,204.20701264705883
three_stage_b,10_14,1,219.33839270588234,213.03135752941176,1.8540650000000003,213.03135752941176
islands_1_4__5_12__13_17,1_17,3,116.70491876470588,90.5487265882353,9.643395,100.1921215882353
islands_1_4__5_10__13_15,1_15,3,118.25810488235295,90.19690429411764,11.67065,101.86755429411764
islands_1_4__5_11__13_17,1_17,3,118.28279864705884,90.33820758823529,11.366005,101.7042125882353
islands_1_4__5_12__13_15,1_15,3,118.36523947058825,91.83167694117648,10.03653,101.86820694117648
islands_1_4__5_12__13_16,1_16,3,120.49925611764708,92.29492935294118,11.74341,104.03833935294118
islands_1_4__5_11__13_16,1_16,3,121.1227488235294,91.92000164705883,12.310839999999999,104.23084164705882
islands_1_4__5_10__13_19,1_19,3,121.55770552941176,96.12294129411765,10.60485,106.72779129411765
islands_1_4__5_11__13_15,1_15,3,121.56170970588236,92.23945358823529,12.56995,104.8094035882353
islands_1_3__5_10__13_16,1_16,3,121.58825641176472,91.43623435294117,14.164599999999998,105.60083435294116
islands_1_4__5_10__13_17,1_17,3,122.28269099999999,93.15523729411765,11.105955,104.26119229411765
islands_1_4__5_11__13_19,1_19,3,122.32061670588236,96.5788188235294,9.965810000000001,106.54462882352941
islands_1_3__5_10__13_15,1_15,3,122.628688,92.14619347058823,13.66105,105.80724347058823
islands_1_4__5_11__13_18,1_18,3,123.32085664705882,97.51897329411764,10.92685,108.44582329411764
islands_1_3__5_12__13_17,1_17,3,123.34019452941173,91.79808729411764,15.482050000000001,107.28013729411764
islands_1_3__5_10__13_17,1_17,3,123.43701252941175,92.85376776470588,14.623750000000001,107.47751776470588
islands_1_4__5_10__13_16,1_16,3,123.4922501764706,93.2651511764706,12.35435,105.61950117647059
islands_1_4__5_10__13_18,1_18,3,125.44855205882354,97.67579194117647,11.03295,108.70874194117647
islands_1_3__5_12__13_16,1_16,3,126.73157847058825,95.49779476470587,13.5207,109.01849476470588
islands_1_3__5_12__13_18,1_18,3,128.58568170588237,99.68236023529411,12.4971,112.17946023529412
islands_1_3__5_12__13_19,1_19,3,129.51220741176468,100.48397905882354,12.37665,112.86062905882353
islands_3_9__10_19,3_19,2,94.94600647058824,81.28825882352942,5.2702100000000005,86.18189076470588
