access_kind,alu_opcode,alu_repeats,average_cpu_cores,bandwidth_GBps,batch,block_out,bucket,case_id,channels_in,channels_out,correct,device_wait_ms_per_repeat,direction,driver_poll_sleep_ns,driver_poll_wait_ms_per_repeat,driver_post_start_sleep_ns,driver_submit_ms_per_repeat,elements,eligible_for_direct_physical_model,family,get_ms,get_process_cpu_ms,host_submit_sync_ms_per_repeat,inner_repeats,input_count,input_fill,input_x,input_y,kernel,kernel_length,load_bytes_per_repeat,load_calls_per_repeat,load_enqueue_ms_per_repeat,logical_input_x,logical_input_y,measurement_kind,operation,output_bits,output_count,output_signature,output_x,output_y,pad_left,pad_top,pair_id,pair_role,poll_policy,process_cpu_ms,run_ms,run_process_cpu_ms,sample_index,session_id,set_ms,set_process_cpu_ms,size_bytes,spatial,stage_ms,store_bytes_per_repeat,store_calls_per_repeat,store_enqueue_ms_per_repeat,streams,stride,target_access_kind,threads,traffic_bytes,wall_ms,wall_ms_per_repeat,working_set_bytes,x,y
,,,0.9999041263997546,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t1,3,32,True,,,,,,,,,cpu_operator,0.822458,0.829988,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,23.210842,22.216752,22.214622,12,1,0.165872,0.166232,,160,23.205082,,,,,2,,1,,,,,,
,,,0.9988973014297654,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t1,3,32,True,,,,,,,,,cpu_operator,0.379053,0.385834,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,22.831998,22.309814,22.285213,13,1,0.160441,0.160951,,160,22.849308,,,,,2,,1,,,,,,
,,,0.9999140219959499,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t1,3,32,True,,,,,,,,,cpu_operator,0.868779,0.876579,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,23.360514,22.331293,22.329373,14,1,0.154082,0.154562,,160,23.354154,,,,,2,,1,,,,,,
,,,0.999861943765906,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t1,3,32,True,,,,,,,,,cpu_operator,0.845499,0.854589,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,23.180062,22.164881,22.161821,15,1,0.163052,0.163652,,160,23.173432,,,,,2,,1,,,,,,
,,,0.9998499138954801,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t1,3,32,True,,,,,,,,,cpu_operator,0.379204,0.386704,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,22.732757,22.180601,22.177272,16,1,0.167882,0.168781,,160,22.727687,,,,,2,,1,,,,,,
,,,0.9999095295618232,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t1,3,32,True,,,,,,,,,cpu_operator,0.837669,0.845828,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,23.215252,22.217202,22.215192,17,1,0.153301,0.154232,,160,23.208172,,,,,2,,1,,,,,,
,,,0.9989975407765163,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t1,3,32,True,,,,,,,,,cpu_operator,0.378783,0.385984,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,22.907389,22.355024,22.332614,18,1,0.187772,0.188791,,160,22.921579,,,,,2,,1,,,,,,
,,,0.9998776436753454,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t1,3,32,True,,,,,,,,,cpu_operator,0.375514,0.382984,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,22.845978,22.311883,22.309153,19,1,0.153602,0.153841,,160,22.840999,,,,,2,,1,,,,,,
,,,1.993047544109083,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t2,3,32,True,,,,,,,,,cpu_operator,0.832779,0.840908,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,23.298954,11.188852,22.299914,0,1,0.157021,0.158132,,160,12.178652,,,,,2,,2,,,,,,
,,,1.996560036318976,,,,stem_large_input_conv,cpu_stem_large_input_conv_p0_t2,3,32,True,,,,,,,,,cpu_operator,0.910089,0.919929,,,,,,,7,,,,,,,native_cpu_stage_service,,,,"[{""dtype"":""float32"",""fnv1a64"":""7a0daf912207282b"",""shape"":[1,32,80,80]}]",,,,,,,,23.407493,11.180932,22.323402,1,1,0.163411,0.164162,,160,12.254432,,,,,2,,2,,,,,,
