candidate_id,start_name,end_name,end_output_names,needs_route_input,cpu_prefix_convs,vta_convs,cpu_tail_convs,boundary_conv_outputs,stage_devices,balance_imbalance_ms_est,balanced_cycle_ms_est,fitted_cycle_ms_est,resource_cycle_ms,vta_dma_ms,boundary_ms,dma_fragmentation_ms,sram_risk_ms,tail_cpu_ms,stage_count,effective_segment_count,small_island_count,pattern_cpu_vta_cpu,pattern_cpu_vta_cpu_vta_cpu,stage0_ms_est,stage1_vta_ms_est,stage2_ms_est,boundary_bytes_est,predicted_cycle_ms,predicted_fps,boundary_valid,boundary_status,failure_type,boundary_reasons,boundary_warnings,status,package_dir
yolo_pool3_to_dual_pre18_14,pool3,dual_pre18_14,"['route23', 'small42', 'big64']",False,"[0, 1, 2, 3]","[4, 5, 6, 7, 8, 11]","[9, 10, 12]","[4, 8, 11]",cpu/vta/cpu,2.5958399999999813,218.96973187878785,435.86297081717237,203.89143272727273,0.5113018181818182,0.7499093333333333,0.06,0.0,201.29559272727275,3.0,3.0,0.0,1.0,0.0,203.89143272727273,90.84653381818183,201.29559272727275,1124864,294.8823655072224,3.3911827798855185,True,safe,,,non_pool4_start_boundary_experimental;cpu_tail_requires_serial_raw_gate;concat_route_cpu_tail_boundary;cpu_to_vta_boundary_requires_pack_quant:pool3;vta_to_cpu_boundary_requires_unpack_dequant:route23;vta_to_cpu_boundary_requires_unpack_dequant:small42;vta_to_cpu_boundary_requires_unpack_dequant:big64,buildable,vta/tutorials/frontend/report_out/yolov3_tiny_heuristic_search/20260513_cpu_vta_cpu_bypass_smoke/packages/yolo_pool3_to_dual_pre18_14
yolo_pool2_to_dual_pre18_14,pool2,dual_pre18_14,"['route23', 'small42', 'big64']",False,"[0, 1, 2]","[3, 4, 5, 6, 7, 8, 11]","[9, 10, 12]","[4, 8, 11]",cpu/vta/cpu,57.81643636363637,255.02830933333334,434.61130350700114,201.29559272727275,0.5113018181818182,0.7499093333333333,0.06,0.0,201.29559272727275,3.0,3.0,0.0,1.0,0.0,143.47915636363638,103.30656581818182,201.29559272727275,1124864,317.88235729411707,3.14581786957985,True,safe,,,non_pool4_start_boundary_experimental;cpu_tail_requires_serial_raw_gate;concat_route_cpu_tail_boundary;cpu_to_vta_boundary_requires_pack_quant:pool2;vta_to_cpu_boundary_requires_unpack_dequant:route23;vta_to_cpu_boundary_requires_unpack_dequant:small42;vta_to_cpu_boundary_requires_unpack_dequant:big64,buildable,vta/tutorials/frontend/report_out/yolov3_tiny_heuristic_search/20260513_cpu_vta_cpu_bypass_smoke/packages/yolo_pool2_to_dual_pre18_14
yolo_pool4_route_to_shared13,pool4_route,shared13,"['route23', 'shared38']",True,"[0, 1, 2, 3, 4]","[5, 6, 7]","[8, 9, 10, 11, 12]","[4, 7]",cpu/vta/cpu,0.9177212121211937,277.9162763636364,393.86485712119384,264.30370909090914,0.3933090909090909,0.5768533333333333,0.04,0.0,263.38598787878794,3.0,3.0,0.0,1.0,0.0,264.30370909090914,65.46236509090909,263.38598787878794,865280,318.4982796287815,3.139734384642603,True,safe,,,cpu_tail_requires_serial_raw_gate;route_branch_cpu_to_vta_boundary;concat_route_cpu_tail_boundary;cpu_to_vta_boundary_requires_pack_quant:pool4_route;cpu_to_vta_boundary_requires_pack_quant:route23;vta_to_cpu_boundary_requires_unpack_dequant:route23;vta_to_cpu_boundary_requires_unpack_dequant:shared38,buildable,vta/tutorials/frontend/report_out/yolov3_tiny_heuristic_search/20260513_cpu_vta_cpu_bypass_smoke/packages/yolo_pool4_route_to_shared13
