mode,status,fps,mean_ms,std_ms,passes_correctness_gate,reason
native_serial,not_implemented,,,,False,YOLOv3-tiny native stage pipeline needs a detection graph stage splitter. The existing ResNet18 stage splitter cannot be reused directly because it depends on ResNet unit metadata and MXNet block boundaries.
native_pipeline,not_implemented,,,,False,YOLOv3-tiny native stage pipeline needs a detection graph stage splitter. The existing ResNet18 stage splitter cannot be reused directly because it depends on ResNet unit metadata and MXNet block boundaries.
